Code,Area,Life Satisfaction
E09000002,Barking and Dagenham,7.52
E09000003,Barnet,7.55
E09000004,Bexley,7.54
E09000005,Brent,7.71
E09000006,Bromley,7.57
E09000007,Camden,7.48
E09000008,Croydon,7.69
E09000009,Ealing,7.53
E09000010,Enfield,7.37
E09000011,Greenwich,7.54
E09000012,Hackney,7.5
E09000013,Hammersmith and Fulham,7.72
E09000014,Haringey,7.35
E09000015,Harrow,7.65
E09000016,Havering,7.68
E09000017,Hillingdon,7.76
E09000018,Hounslow,7.85
E09000019,Islington,7.51
E09000020,Kensington and Chelsea,7.23
E09000021,Kingston upon Thames,7.78
E09000022,Lambeth,7.22
E09000023,Lewisham,7.49
E09000024,Merton,7.84
E09000025,Newham,7.54
E09000026,Redbridge,7.54
E09000027,Richmond upon Thames,7.7
E09000028,Southwark,7.34
E09000029,Sutton,7.88
E09000030,Tower Hamlets,7.82
E09000031,Waltham Forest,7.46
E09000032,Wandsworth,7.65
E09000033,Westminster,7.66
