Code,Area,Life Satisfaction,Worthwhile,Happiness,Anxiety
E09000002,Barking and Dagenham,7.52,7.88,7.67,2.82
E09000003,Barnet,7.55,7.68,7.44,3.19
E09000004,Bexley,7.54,7.83,7.55,3.21
E09000005,Brent,7.71,7.84,7.84,2.4
E09000006,Bromley,7.57,7.65,7.47,2.88
E09000007,Camden,7.48,7.63,7.38,3.3
E09000008,Croydon,7.69,7.81,7.78,2.93
E09000009,Ealing,7.53,7.97,7.61,3.4
E09000010,Enfield,7.37,7.68,7.35,2.96
E09000011,Greenwich,7.54,7.81,7.36,2.98
E09000012,Hackney,7.5,7.68,7.38,3.04
E09000013,Hammersmith and Fulham,7.72,7.83,7.6,3.45
E09000014,Haringey,7.35,7.72,7.26,3.07
E09000015,Harrow,7.65,7.72,7.61,2.34
E09000016,Havering,7.68,7.91,7.4,3.03
E09000017,Hillingdon,7.76,7.79,7.67,3.07
E09000018,Hounslow,7.85,7.99,7.73,3.14
E09000019,Islington,7.51,7.59,7.3,3.23
E09000020,Kensington and Chelsea,7.23,7.46,7.38,3.69
E09000021,Kingston upon Thames,7.78,7.95,7.59,2.81
E09000022,Lambeth,7.22,7.6,7.26,3.67
E09000023,Lewisham,7.49,7.81,7.55,3.37
E09000024,Merton,7.84,8.03,7.57,3.13
E09000025,Newham,7.54,7.73,7.54,3.16
E09000026,Redbridge,7.54,7.75,7.45,3.05
E09000027,Richmond upon Thames,7.7,7.76,7.48,3.34
E09000028,Southwark,7.34,7.5,7.28,3.61
E09000029,Sutton,7.88,8.04,7.79,2.64
E09000030,Tower Hamlets,7.82,7.78,7.73,2.77
E09000031,Waltham Forest,7.46,7.81,7.51,2.98
E09000032,Wandsworth,7.65,7.71,7.5,3.15
E09000033,Westminster,7.66,7.75,7.38,3.36
